UF;CHAVE;CEPMIN;CEPMAX;CIDADE;COD_CIDADE;TIPO_CIDADE;COD_CIDADE_SUB;COD_DDD;COD_MUN
SP;01000;01000001;05999999;SAO PAULO;9668;M;;11;3550308
SP;06000;06000001;06299999;OSASCO;9432;M;;11;3534401
SP;06300;06300001;06399999;CARAPICUIBA;9044;M;;11;3510609
SP;06400;06400001;06499999;BARUERI;8956;M;;11;3505708
SP;06500;06500001;06549999;SANTANA DE PARNAIBA;9622;M;;11;3547304
SP;06600;06600001;06649999;JANDIRA;9277;M;;11;3525003
SP;06650;06650001;06699999;ITAPEVI;9243;M;;11;3522505
SP;06700;06700001;06729999;COTIA;9082;M;;11;3513009
SP;06750;06750001;06799999;TABOAO DA SERRA;9707;M;;11;3552809
SP;06800;06800001;06849999;EMBU;9113;M;;11;3515004
SP;06850;06850001;06889999;ITAPECERICA DA SERRA;9239;M;;11;3522208
SP;07000;07000001;07399999;GUARULHOS;9183;M;;11;3518800
SP;07800;07800001;07899999;FRANCO DA ROCHA;9146;M;;11;3516408
SP;07900;07900001;07999999;FRANCISCO MORATO;9145;M;;11;3516309
SP;08500;08500001;08549999;FERRAZ DE VASCONCELOS;9138;M;;11;3515707
SP;08550;08550001;08569999;POA;9508;M;;11;3539806
SP;08570;08570001;08599999;ITAQUAQUECETUBA;9250;M;;11;3523107
SP;C;14980000;;SALES;9582;M;;17;3544806
SP;C;12130000;;LAGOINHA;9309;M;;12;3526308
SP;C;15200000;;JOSE BONIFACIO;9291;M;;17;3525706
SP;C;17550000;;JULIO MESQUITA;9293;M;;14;3525805
SP;C;19680000;;JOAO RAMALHO;9288;M;;18;3525607
SP;C;12980000;;JOANOPOLIS;9287;M;;11;3525508
SP;C;14660000;;SALES OLIVEIRA;9583;M;;16;3544905
SP;C;14450000;;JERIQUARA;9286;M;;16;3525409
SP;C;08970000;;SALESOPOLIS;9584;M;;11;3545001
SP;C;13240000;;JARINU;9283;M;;11;3525201
SP;C;14680000;;JARDINOPOLIS;9282;M;;16;3525102
SP;C;12270000;;JAMBEIRO;9276;M;;12;3524907
SP;C;13820000;;JAGUARIUNA;9273;M;;19;3524709
SP;C;18535000;;JUMIRIM;9294;M;;15;3525854
SP;C;18500000;;LARANJAL PAULISTA;9310;M;;15;3526407
RJ;27200;27200001;27299999;VOLTA REDONDA;7121;M;;24;3306305
RJ;27300;27300001;27399999;BARRA MANSA;6863;M;;24;3300407
RJ;27400;27400001;27459999;QUATIS;7030;M;;24;3304128
RJ;27500;27500001;27549999;RESENDE;7035;M;;24;3304201
RJ;27900;27900001;27979999;MACAE;6962;M;;22;3302403
RJ;28000;28000001;28099999;CAMPOS DOS GOYTACAZES;6881;M;;22;3301009
RJ;28600;28600001;28636999;NOVA FRIBURGO;6993;M;;22;3303401
RJ;28900;28900001;28924999;CABO FRIO;6873;M;;22;3300704
ES;29000;29000001;29099999;VITORIA;2048;M;;27;3205309
ES;29100;29100001;29129999;VILA VELHA;2044;M;;27;3205200
ES;29140;29140001;29159999;CARIACICA;1844;M;;27;3201308
ES;29160;29160001;29184999;SERRA;2028;M;;27;3205002
